rank,provider_product_id,provider_product_row_id,title,internal_name,description,observed_price,latest_observed_price,currency,orders,gross_revenue,revenue_share_pct,cumulative_revenue_share_pct,refund_count,refund_amount,first_transaction_at,last_transaction_at,first_seen_at,last_seen_at,current_status,integrity_status,mapping_version,mapping_decision_count,current_business_context_id,current_canonical_offer_id,current_offer_step_id,current_variant_id,unresolved_alert_open,unresolved_work_item_open,candidate_class,candidate_canonical_offer,candidate_offer_step,candidate_variant,evidence_strength,operator_action
"1","o2GYY","148557b5-5315-509f-a50a-25a9db0a2a25","Push Button System","","","67","67","","50153","4875267.58","47.3357","47.3357","1997","170226.55","2025-11-14T01:38:15+00:00","2026-08-29T21:04:56+00:00","2026-08-23T11:50:45+00:00","2026-08-29T21:04:56+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"2","v2Pg8","a792d29e-7c29-5673-9942-1c2b81a6414f","OTO1-gold","","","297","297","","7270","2159190","20.9643","68.3","283","75081.6","2025-11-14T05:47:47+00:00","2026-08-25T21:17:23+00:00","2026-08-20T02:05:50+00:00","2026-08-25T21:17:23+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"3","BBwgQ","5f4160a4-6f3d-500f-b030-e27ae489ff48","OTO2-platinum","","","299","299","","2947","881153","8.5554","76.8554","121","32621.2","2025-11-14T06:04:15+00:00","2026-08-25T21:18:30+00:00","2026-08-20T02:06:09+00:00","2026-08-25T21:18:30+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"4","Jz71g","649b5a59-e6e2-5b8a-adbd-83638101a3c5","Push Button System New","","","67","67","","8451","709249","6.8863","83.7418","126","9516","2026-07-22T15:25:47+00:00","2026-08-30T04:37:32+00:00","2026-08-21T05:05:01+00:00","2026-08-30T04:37:32+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"5","ADvn9","d47cbded-1704-5dd5-914c-c5061ff6131f","OTO1ds2-gold","","","97","97","","2645","256565","2.4911","86.2328","92","8521.45","2025-11-14T15:10:57+00:00","2026-08-16T02:38:37+00:00","2026-08-16T02:38:37+00:00","2026-08-16T02:38:37+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"6","EKjlY","923f1f80-0d8c-5c3e-a62c-5e3e3fa5c70a","SUPER AFFILIATE","","","499","499","","454","226546","2.1996","88.4325","0","0","2026-07-25T00:05:45+00:00","2026-08-30T02:17:54+00:00","2026-08-23T20:23:22+00:00","2026-08-30T02:17:54+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"7","yPV86","cb55dd65-162e-5a66-b0a2-a2af5a482aca","OTO1ds1-gold","","","197","197","","1123","221231","2.148","90.5805","37","6609.85","2025-11-15T10:35:17+00:00","2026-08-20T02:12:55+00:00","2026-08-20T02:12:55+00:00","2026-08-20T02:12:55+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"8","G6BZK","b96d7421-bb5f-5015-b38d-e7292fb6a11c","OTO2ds2-platinum","","","99","99","","1823","180477","1.7523","92.3328","73","6835.95","2025-11-14T17:51:07+00:00","2026-08-20T02:14:59+00:00","2026-08-20T02:14:59+00:00","2026-08-20T02:14:59+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"9","ERzlW","55a0891c-20be-5977-821f-15b42512b9c1","OTO2ds1-platinum","","","199","199","","686","136514","1.3255","93.6582","24","4119.3","2025-11-14T08:41:44+00:00","2026-07-25T19:23:21+00:00","2026-07-25T19:23:21+00:00","2026-07-25T19:23:21+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"10","KApOM","9f4db497-2d84-55f4-a724-7755d5bed8c7","GOLD","","","295","295","","416","122720","1.1915","94.8498","0","0","2026-07-25T00:10:23+00:00","2026-08-30T03:34:35+00:00","2026-08-23T20:25:20+00:00","2026-08-30T03:34:35+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
