grantee,privilege_type,is_grantable
anon,DELETE,NO
anon,INSERT,NO
anon,REFERENCES,NO
anon,SELECT,NO
anon,TRIGGER,NO
anon,TRUNCATE,NO
anon,UPDATE,NO
authenticated,DELETE,NO
authenticated,INSERT,NO
authenticated,REFERENCES,NO
authenticated,SELECT,NO
authenticated,TRIGGER,NO
authenticated,TRUNCATE,NO
authenticated,UPDATE,NO
postgres,DELETE,YES
postgres,INSERT,YES
postgres,REFERENCES,YES
postgres,SELECT,YES
postgres,TRIGGER,YES
postgres,TRUNCATE,YES
postgres,UPDATE,YES
service_role,DELETE,NO
service_role,INSERT,NO
service_role,REFERENCES,NO
service_role,SELECT,NO
service_role,TRIGGER,NO
service_role,TRUNCATE,NO
service_role,UPDATE,NO
