ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
1,id,bigint,int8,NO,nextval('platform_orders_id_seq'::regclass)
2,platform,text,text,NO,null
3,platform_order_id,text,text,NO,null
4,platform_store_id,text,text,YES,null
5,tkid,text,text,YES,null
6,everflow_transaction_id,text,text,YES,null
7,everflow_offer_id,text,text,YES,null
8,email,text,text,YES,null
9,phone,text,text,YES,null
10,order_ts,timestamp with time zone,timestamptz,NO,null
11,status,text,text,NO,null
12,currency,text,text,NO,null
13,gross_amount,numeric,numeric,YES,null
14,product_subtotal,numeric,numeric,YES,null
15,shipping_amount,numeric,numeric,YES,null
16,tax_amount,numeric,numeric,YES,null
17,product_cost,numeric,numeric,YES,null
18,shipping_cost,numeric,numeric,YES,null
19,gateway_fee,numeric,numeric,YES,null
20,chargeback_fee,numeric,numeric,YES,null
21,tracking_number,text,text,YES,null
22,shipping_carrier,text,text,YES,null
23,raw,jsonb,jsonb,YES,null
24,created_at,timestamp with time zone,timestamptz,YES,now()
25,updated_at,timestamp with time zone,timestamptz,YES,now()
26,affiliate_id,text,text,YES,null
27,event_id,text,text,YES,null
28,order_id,text,text,YES,null
29,status_norm,text,text,YES,null
30,customer_email,text,text,YES,null
31,customer_email_normalized,text,text,YES,null
32,customer_email_hash,text,text,YES,null
33,transaction_id,text,text,YES,null
34,source_id,text,text,YES,null
35,sub1,text,text,YES,null
36,sub2,text,text,YES,null
37,sub3,text,text,YES,null
38,sub4,text,text,YES,null
39,sub5,text,text,YES,null
40,raw_json,jsonb,jsonb,YES,'{}'::jsonb
41,identity_key,text,text,YES,null
42,customer_key,text,text,YES,null
43,identity_confidence,integer,int4,YES,0
44,order_group_key,text,text,YES,null
45,receipt_total,numeric,numeric,YES,null
46,applied_product_cost,numeric,numeric,YES,0
47,applied_shipping_cost,numeric,numeric,YES,0
48,applied_total_cost,numeric,numeric,YES,0
49,gross_profit,numeric,numeric,YES,0
50,gross_margin_pct,numeric,numeric,YES,0
51,cost_rule_id,bigint,int8,YES,null
52,cost_applied_at,timestamp with time zone,timestamptz,YES,null
53,applied_mid_fee,numeric,numeric,YES,0
54,net_profit,numeric,numeric,YES,0
55,net_margin_pct,numeric,numeric,YES,0
56,mid_fee_rule_id,bigint,int8,YES,null
57,commerce_reference,text,text,YES,null
58,workspace_id,text,text,NO,'default'::text
59,person_id,uuid,uuid,YES,null
